,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,karratha,-20.7377,116.8463,20.04,71,6,2.54,AU,1627427466
1,coahuayana,18.7333,-103.6833,30.71,72,64,2.72,MX,1627427467
2,grindavik,63.8424,-22.4338,11.61,93,0,5.66,IS,1627427467
3,inhambane,-23.865,35.3833,18.08,64,0,3.35,MZ,1627427467
4,severo-kurilsk,50.6789,156.125,14.04,95,100,2.67,RU,1627427264
5,hithadhoo,-0.6,73.0833,27.18,78,97,3.48,MV,1627427353
6,coquimbo,-29.9533,-71.3436,11.85,87,0,2.06,CL,1627427275
7,busselton,-33.65,115.3333,7.8,75,100,5.71,AU,1627427356
8,quatre cocos,-20.2078,57.7625,20.61,87,95,6.91,MU,1627427468
9,san policarpo,12.1791,125.5072,27.69,74,99,4.72,PH,1627427469
10,agadez,19.75,10.25,27.66,53,75,5.9,NE,1627427469
11,klaksvik,62.2266,-6.589,11.51,96,94,4.17,FO,1627427469
12,san cristobal,7.7669,-72.225,21.53,82,27,1.04,VE,1627427470
13,kodiak,57.79,-152.4072,15.73,63,20,2.57,US,1627427470
14,nouadhibou,20.931,-17.0347,20.44,88,3,10.81,MR,1627427437
15,yanam,16.7333,82.2167,29.17,62,100,4.23,IN,1627427471
16,faanui,-16.4833,-151.75,25.64,74,25,3.45,PF,1627427206
17,la roda,39.2167,-2.15,24.39,65,0,5.08,ES,1627427471
18,mataura,-46.1927,168.8643,10.82,82,47,0.31,NZ,1627427453
19,mahebourg,-20.4081,57.7,20.7,86,98,7.24,MU,1627427472
20,razdolinsk,58.4211,94.6658,15.11,82,92,2.51,RU,1627427472
21,inuvik,68.3499,-133.7218,16.87,63,100,1.65,CA,1627427472
22,meulaboh,4.1363,96.1285,24.58,90,37,1.62,ID,1627427472
23,oskemen,49.9565,82.6119,9.73,84,0,0.13,KZ,1627427473
24,vila velha,-20.3297,-40.2925,21.97,88,0,2.06,BR,1627427473
25,port hueneme,34.1478,-119.1951,38.68,69,20,6.17,US,1627427473
26,islamkot,24.6997,70.177,27.81,80,100,9.8,PK,1627427474
27,victoria,22.2855,114.1577,31.65,90,98,0.45,HK,1627427273
28,eirunepe,-6.6603,-69.8736,27.42,62,77,0.79,BR,1627427474
29,pangoa,-12.1167,-73.0,23.45,70,22,1.25,PE,1627427474
30,east london,-33.0153,27.9116,22.81,25,0,5.28,ZA,1627427200
31,gobabis,-22.45,18.9667,7.5,43,0,5.77,NA,1627427475
32,albany,42.6001,-73.9662,21.66,88,61,3.13,US,1627427424
33,avarua,-21.2078,-159.775,25.03,61,91,3.09,CK,1627427475
34,thompson,55.7435,-97.8558,20.38,56,100,3.51,CA,1627427475
35,san vicente,-26.6167,-54.1333,4.72,55,3,2.02,AR,1627427476
36,mount isa,-20.7333,139.5,17.87,63,74,0.0,AU,1627427476
37,hobart,-42.8794,147.3294,12.37,81,75,2.24,AU,1627427200
38,brodokalmak,55.5748,62.082,12.5,74,79,2.41,RU,1627427476
39,merauke,-8.4667,140.3333,25.94,83,85,5.21,ID,1627427221
40,barrow,71.2906,-156.7887,7.01,84,90,7.72,US,1627427182
41,manggar,-2.8833,108.2667,27.16,75,70,5.04,ID,1627427477
